"","wkt_words"
"612","aydýnlýk"
"613","aygýr"
"614","aygýt"
"615","aygýtçýk"
"616","ayý"
"617","ayýp"
"618","ayin"
"619","aylýk"
"620","ayna"
"621","aynasýz"
"622","aynþtaynyum"
"623","ayran"
"624","ayrancý"
"625","ayrancýlýk"
"626","ayrýcalýk"
"627","ayrýlýkçý"
"628","ayrýlma"
"629","ayrýlma durumu"
"630","ayrýlma hali"
"631","ayrýlma hâli"
"632","ayrýmcýlýk"
"633","ayrýntý"
"634","ayva"
"635","ayvaz"
"636","ayyaþ"
"637","aza"
"638","azalma"
"639","azap"
"640","azarlama"
"641","azýk"
"642","azýnlýk"
"643","azil"
"644","azim"
"645","azir"
"646","aziz"
"647","aznavur"
"648","azot"
"649","ba's"
"650","Baasçý"
"651","Baasçýlýk"
"652","baba"
"653","babaanne"
"654","babafingo"
"655","babalý"
"656","babalýk"
"657","babalýk testi"
"658","babasýz"
"659","babayiðit"
"660","baca"
"661","bacak"
"662","bacanak"
"663","bacý"
"664","badana"
"665","badanacý"
"666","bade"
"667","badem"
"668","badýç"
"669","badincan"
"670","badminton"
"671","badul"
"672","bað"
"673","baða"
"674","baðcýk"
"675","baðýmlý"
"676","baðýmlý deðiþken"
"677","baðýmlýlýk"
"678","baðýmlýlýk enjeksiyonu"
"679","baðýmsýz"
"680","baðýmsýzlýk"
"681","baðýr"
"682","baðýrsak"
"683","baðýrtý"
"684","baðýþ"
"685","baðýþýklýk sistemi"
"686","baðýz"
"687","baðlaç"
"688","baðlam"
"689","baðlama"
"690","baðlantý"
"691","bahadýr"
"692","bahar"
"693","baharat"
"694","bahçe"
"695","bahçývan"
"696","bahýs"
"697","bahis"
"698","bahriyeli"
"699","bahþiþ"
"700","baht"
"701","bakan"
"702","bakanlýk"
"703","bakýcý"
"704","bakým"
"705","bakýr"
"706","bakýþ"
"707","bakir"
"708","bakire"
"709","bakirelik"
"710","bakirlik"
"711","bakkal"
"712","bakla"
"713","Baklahorani"
"714","baklava"
"715","bakma"
"716","bakteri"
"717","bal"
"718","bal arýsý"
"719","bal kabaðý"
"720","bal mumu"
"721","bala"
"722","balak"
"723","balalayka"
"724","balamoz"
"725","balans"
"726","balayý"
"727","baldýr"
"728","baldýran"
"729","baldýrýkara"
"730","baldýz"
"731","bale"
"732","balgam"
"733","balýk"
"734","balýk adam"
"735","balýk kartalý"
"736","balýkçý"
"737","balýkçýl"
"738","balýkçýlýk"
"739","balýklava"
"740","balina"
"741","balistik"
"742","balkan"
"743","balkmak"
"744","balmumu"
"745","balon"
"746","balta"
"747","baltacý"
"748","baltacýlýk"
"749","balya"
"750","balyoz"
"751","bam teli"
"752","bamya"
"753","banallik"
"754","bandaj"
"755","bandýra"
"756","bank"
"757","banka"
"758","bankacý"
"759","bankacýlýk"
"760","banker"
"761","banket"
"762","banknot"
"763","banliyö"
"764","banyo"
"765","bar"
"766","baraj"
"767","baran"
"768","barbekü"
"769","bardak"
"770","barem"
"771","barýnak"
"772","barýþ"
"773","barýþ çubuðu"
"774","barisfer"
"775","bariton"
"776","barmen"
"777","barut"
"778","baryum"
"779","barza"
"780","bas"
"781","basal"
"782","basý"
"783","basýlma"
"784","basýn"
"785","basýn konferansý"
"786","basit kelime"
"787","basket"
"788","basketbol"
"789","basketbolcu"
"790","basketbolculuk"
"791","basketçi"
"792","basketçilik"
"793","baský"
"794","baskýn"
"795","baskül"
"796","basma"
"797","basmahane"
"798","basmakalýp söz"
"799","bastýrma"
"800","baston"
"801","baþ"
"802","baþ aðrýsý"
"803","baþarý"
"804","baþarýlýlýk"
"805","baþarýsýz"
"806","baþarýsýzlýk"
"807","baþbakan"
"808","baþbuð"
"809","baþçýk"
"810","baþýboþ dolaþan"
"811","baþkaldýrma"
"812","baþkan"
"813","baþkanlýk"
"814","baþkent"
"815","baþkumandan"
"816","baþlama"
"817","baþlangýç"
"818","baþlýk"
"819","baþmak"
"820","baþparmak"
"821","baþrahip"
"822","baþrol"
"823","baþvekil"
"824","baþvekâlet"
"825","baþvuru"
"826","batak"
"827","bataklýk"
"828","batarya"
"829","batý"
"830","Batý Asyalý"
"831","Batýmerkezcilik"
"832","batiskaf"
"833","batman"
"834","battaniye"
"835","bay"
"836","bayan"
"837","baygýnlýk"
"838","bayýlma"
"839","bayi"
"840","baykuþ"
"841","baykuþ sineði"
"842","bayrak"
"843","bayraktar"
"844","bayram"
"845","baytar"
"846","baz"
"847","bazalt"
"848","bazilika"
"849","be"
"850","bebe"
"851","bebek"
"852","bebeklik"
"853","beddua"
"854","bedel"
"855","beden"
"856","bedevi"
"857","beðenme"
"858","Behçet hastalýðý"
"859","behiþt"
"860","bej"
"861","beka"
"862","bekçi"
"863","bekleme"
"864","bekleme odasý"
"865","bekâr"
"866","bekâret"
"867","bel"
"868","bela"
"869","belediye"
"870","belediye baþkaný"
"871","belge"
"872","belgebilim"
"873","belgeç"
"874","belgegeçer"
"875","Belgratlý"
"876","belirleme"
"877","belirli integral"
"878","belirli tanýmlýk"
"879","belirsiz integral"
"880","belirsiz tanýmlýk"
"881","belirteç"
"882","belirtili ad tamlamasý"
"883","belirtili isim tamlamasý"
"884","belirtisiz ad tamlamasý"
"885","belirtisiz isim tamlamasý"
"886","belirtme"
"887","belirtme durumu"
"888","belirtme hali"
"889","belirtme hâli"
"890","belle"
"891","bellek"
"892","bellek çubuðu"
"893","bellek kartý"
"894","belsoðukluðu"
"895","belâ"
"896","ben"
"897","bencillik"
"898","bende"
"899","benek"
"900","Bengal kaplaný"
"901","bengilik"
"902","beniz"
"903","bent"
"904","bentonit"
"905","benzen"
"906","benzer"
"907","benzerlik"
"908","benzin"
"909","benzin istasyonu"
"910","benzinlik"
"911","berber"
"912","bere"
"913","bereket"
"914","berilyum"
"915","berk"
"916","berkelyum"
"917","bermuda"
"918","bertik"
"919","besin"
"920","beþer"
"921","beþgen"
"922","beþik"
"923","beþincilik"
"924","beþlik"
"925","beta sürümü"
"926","betik"
"927","beton"
"928","bey"
"929","beyan"
"930","beyanname"
"931","beyaz"
"932","beyaz eþya"
"933","beyaz þarap"
"934","beyaz yalan"
"935","beyefendi"
"936","beygir"
"937","beyin"
"938","beyin fýrtýnasý"
"939","beyin göçü"
"940","beyit"
"941","beylik"
"942","beyzbol"
"943","beyzbolcu"
"944","beyzbolculuk"
"945","bez"
"946","bezdiri"
"947","bezek"
"948","bezelye"
"949","bezir"
"950","býçak"
"951","býldýrcýn"
"952","býldýrcýn kýlavuzu"
"953","býngýldak"
"954","býrakma"
"955","býyýk"
"956","býzýr"
"957","biber"
"958","biberlik"
"959","biberon"
"960","bibi"
"961","bibliyotek"
"962","biblo"
"963","bicik"
"964","biçerdöver"
"965","biçim"
"966","biftek"
"967","biftekkek"
"968","bijuteri"
"969","bikýn"
"970","bikini"
"971","bikir"
"972","bilanço"
"973","bilardo"
"974","bildirim"
"975","bildirme"
"976","bildirme kipi"
"977","bilek"
"978","bilek güreþi"
"979","bileþik"
"980","bilet"
"981","bilezik"
"982","bilge"
"983","bilgi"
"984","bilgi kuramý"
"985","bilgi þöleni"
"986","bilgin"
"987","bilgisayar"
"988","bilgisayar bilimi"
"989","bilgisayar donanýmý"
"990","bilgisayar korsaný"
"991","bilgisayar programý"
"992","bilgisayar uygulamasý"
"993","bilim"
"994","bilim kuramý"
"995","bilim kurgu"
"996","bilim merkezi"
"997","bilim teorisi"
"998","bilim-yurdu"
"999","bilimyurdu"
"1000","bilinç"
"1001","bilinemezcilik"
"1002","biliþim"
"1003","biliþsel psikoloji"
"1004","bilye"
"1005","bina"
"1006","binek"
"1007","biniþ"
"1008","biniþ kartý"
"1009","binyýl"
"1010","binyýlcýlýk"
"1011","bip"
"1012","bir"
"1013","bira"
"1014","birader"
"1015","birdirbir"
"1016","birey"
"1017","birim"
"1018","birim testi"
"1019","birinci sýnýf nesne"
"1020","birincil anahtar"
"1021","birincil sürüm"
"1022","birincilik"
"1023","birleþik kelime"
"1024","birleþik sözcük"
"1025","birleþme"
"1026","birlik"
"1027","birliktelik"
"1028","biseksüel"
"1029","biseksüellik"
"1030","bisiklet"
"1031","bisiklet kaský"
"1032","bisikletçi"
"1033","bisikletçilik"
"1034","bisküvi"
"1035","bismillah"
"1036","Biþkekli"
"1037","bit"
"1038","bit sineði"
"1039","bitaraflýk"
"1040","bitim"
"1041","bitirme"
"1042","bitiþ"
"1043","bitki"
"1044","bitki bilimi"
"1045","bitme"
"1046","biye"
"1047","biyoenformatik"
"1048","biyokimya"
"1049","biyokimyacý"
"1050","biyoloji"
"1051","biyoteknoloji"
"1052","biz"
"1053","bizmut"
"1054","blastopor"
"1055","blog"
"1056","blogcu"
"1057","blok"
"1058","blokaj"
"1059","bluz"
"1060","bluzlu"
"1061","bluzsuz"
"1062","bodrum"
"1063","boða"
"1064","boðaz"
"1065","boðma"
"1066","bohça"
"1067","bok"
"1068","boks"
"1069","boks torbasý"
"1070","boksör"
"1071","boksörlük"
"1072","bolluk"
"1073","Bolþevik"
"1074","Bolþeviklik"
"1075","bomba"
"1076","bombacý"
"1077","bombardýman"
"1078","bone"
"1079","boomer"
"1080","bor"
"1081","bora"
"1082","boran"
"1083","borç"
"1084","borçlu"
"1085","borda"
"1086","boru"
"1087","bostan"
"1088","bostancý"
"1089","boþ"
"1090","boþalma"
"1091","boþaltým sistemi"
"1092","boþanma"
"1093","boþluk"
"1094","botanik"
"1095","botoks"
"1096","boy"
"1097","boya"
"1098","boyacý"
"1099","boyayýcý"
"1100","boykot"
"1101","boynuz"
"1102","boynuz sineði"
"1103","boynuz sineði deri yangýsý"
"1104","boyun"
"1105","boyunbaðý"
"1106","boyut"
"1107","boz ayý"
"1108","boz kurt"
"1109","boza"
"1110","bozayý"
"1111","bozgun"
"1112","bozma"
"1113","bozon"
"1114","bozukluk"
"1115","bozulma"
"1116","bozunum"
"1117","böbrek"
"1118","böbrek yetmezliði"
"1119","böcek"
"1120","böcekbilim"
"1121","böcekbilimci"
"1122","böðür"
"1123","böðürtlen"
"1124","bölge"
"1125","bölüm"
"1126","börek"
"1127","börk"
"1128","börü"
"1129","börülce"
"1130","Bretonca"
"1131","brifing"
"1132","brokoli"
"1133","brom"
"1134","broþ"
"1135","broþür"
"1136","bubi tuzaðý"
"1137","budala"
"1138","budun"
"1139","bufalo"
"1140","bugün"
"1141","buðday"
"1142","buðra"
"1143","buhar"
"1144","buji"
"1145","bukaðý"
"1146","bukalemun"
"1147","bulaþýk"
"1148","bulaþýk deterjaný"
"1149","bulaþýk makinesi"
"1150","bulgu"
"1151","bulgur"
"1152","bulli"
"1153","bulmaca"
"1154","bulunma"
"1155","bulunma durumu"
"1156","bulunma hali"
"1157","bulunma hâli"
"1158","buluþma"
"1159","bulut"
"1160","bulut biliþim"
"1161","bulvar"
"1162","bumerang"
"1163","bun"
"1164","bura"
"1165","burç"
"1166","burçak"
"1167","burka"
"1168","burun"
"1169","buruþukluk"
"1170","buse"
"1171","but"
"1172","butluk"
"1173","buton"
"1174","buyruk"
"1175","buz"
"1176","buzaðý"
"1177","buzcu"
"1178","buzdolabý"
"1179","buzluk"
"1180","buzuki"
"1181","buzul"
"1182","buzul bilimci"
"1183","buzul bilimi"
"1184","buzul kuþu"
"1185","büber"
"1186","büfe"
"1187","bühtan"
"1188","bük"
"1189","bükme"
"1190","bükmeme"
"1191","bükülme"
"1192","bülbül"
"1193","bülbülyuvasý"
"1194","büro"
"1195","bürokrasi"
"1196","bürokrat"
"1197","büst"
"1198","bütan"
"1199","bütçe"
"1200","büten"
"1201","bütün"
"1202","bütünlük"
"1203","bütünsellik"
"1204","büyü"
"1205","büyücü"
"1206","büyük baba"
"1207","büyükanne"
"1208","büyükelçi"
"1209","büyüklük"
"1210","büyükþehir"
"1211","büyüme"
"1212","büz"
"1213","büzük"
"1214","caba"
"1215","cacýk"
"1216","cadalozluk"
"1217","cadde"
"1218","cadý"
"1219","cadý kazaný"
"1220","cadýlýk"
"1221","cafcaf"
"1222","cað"
"1223","Cakartalý"
"1224","cam"
"1225","cambaz"
"1226","cami"
"1227","can"
"1228","Can"
"1229","can eriði"
"1230","canavar"
"1231","canip"
"1232","canlandýrýcý"
"1233","canlandýrma"
"1234","canlý"
"1235","canlýlýk"
"1236","cansýzlýk"
"1237","cariye"
"1238","casus"
"1239","caydýrýcýlýk"
"1240","caz"
"1241","CD"
"1242","ce"
"1243","cebbar"
"1244","cebel"
"1245","cebeli"
"1246","cebellezi"
"1247","cebhe"
"1248","cehennem"
"1249","ceket"
"1250","celadet"
"1251","celal"
"1252","cellat"
"1253","celp"
"1254","celse"
"1255","cemaat"
"1256","cemiyet"
"1257","cenah"
"1258","cenap"
"1259","cenaze"
"1260","cenk"
"1261","cennet"
"1262","centilmenlik anlaþmasý"
"1263","centrum"
"1264","cenup"
"1265","cep"
"1266","cep telefonu"
"1267","cepçi"
"1268","cephane"
"1269","cephe"
"1270","cephe yönelimli programlama"
"1271","cerahat"
"1272","cerahatlenme"
"1273","cerahatlenmeme"
"1274","cerbeze"
"1275","cereyan"
"1276","cerrah"
"1277","cesaret"
"1278","cesed"
"1279","ceset"
"1280","cet"
"1281","cetvel"
"1282","cevap"
"1283","cevap anahtarý"
"1284","cevher"
"1285","ceviz"
"1286","ceylan"
"1287","ceza"
"1288","ceza sahasý"
"1289","cezaevi"
"1290","cezeriye"
"1291","cezerye"
"1292","cezire"
"1293","cezve"
"1294","challenge"
"1295","chat"
"1296","cýdaðý"
"1297","cýmbar"
"1298","cýmbýz"
"1299","cýncýk"
"1300","cýngýl"
"1301","cýrcýr"
"1302","cýva"
"1303","cibiliyet"
"1304","cibin"
"1305","cibinlik"
"1306","cicik"
"1307","ciðer"
"1308","cihan"
"1309","cihanlar"
"1310","cihat"
"1311","cihaz"
"1312","cihet"
"1313","ciklet"
"1314","cilt"
"1315","cima"
"1316","cimcime"
"1317","cimdallý"
"1318","cin"
"1319","cinas"
"1320","cinayet"
"1321","cins"
"1322","cinsel birleþme"
"1323","cinsel iliþki"
"1324","cinsel kimlik"
"1325","cinsel taciz"
"1326","cinsel tercih"
"1327","cinsel yönelim"
"1328","cinsellik"
"1329","cinsiyet"
"1330","cip"
"1331","cisim"
"1332","civar"
"1333","civciv"
"1334","coðrafya"
"1335","concon"
"1336","conta"
"1337","corum"
"1338","coþku"
"1339","culuk"
"1340","cuma"
"1341","cuma akþamý"
"1342","cumartesi"
"1343","cumba"
"1344","cumhur"
"1345","cumhurbaþkaný"
"1346","cumhuriyet"
"1347","cumhuriyetçi"
"1348","cumhuriyetçilik"
"1349","cura"
"1350","cüce"
"1351","cüce gezegen"
"1352","cümle"
"1353","cüret"
"1354","cürüm"
"1355","cüzdan"
"1356","cüzzam"
"1357","CV"
"1358","çaba"
"1359","çaça"
"1360","çadýr"
"1361","çadýr bezi"
"1362","çadýr çiçeði"
"1363","çador"
"1364","çað"
"1365","çaðanoz"
"1366","çaðcýllýk"
"1367","çaðdaþlýk"
"1368","çaðrý"
"1369","çakal"
"1370","çaký"
"1371","çakýl"
"1372","çakýrkanat"
"1373","çakma"
"1374","çakmak"
"1375","çakmakçý"
"1376","çakmakçýlýk"
"1377","çalar saat"
"1378","çalgý"
"1379","çalgýcý"
"1380","çalgýç"
"1381","çalý"
"1382","çalýþkanlýk"
"1383","çalýþma"
"1384","çalýþma alaný"
"1385","çalýþma konseyi"
"1386","çalýþtay"
"1387","çalma"
"1388","çam"
"1389","çamaþýr"
"1390","çamaþýr makinasý"
"1391","çamaþýr suyu"
"1392","çamur"
"1393","çan"
"1394","çan çiçeði"
"1395","çanta"
"1396","çap"
"1397","çapa"
"1398","çapak"
"1399","çapraz"
"1400","çapulcu"
"1401","çar"
"1402","çare"
"1403","çariçe"
"1404","çark"
"1405","çarmýh"
"1406","çarpan"
"1407","çarpý"
"1408","çarpým tablosu"
"1409","çarþaf"
"1410","çarþamba"
"1411","çarþý"
"1412","çaþýt"
"1413","çat"
"1414","çatal"
"1415","çatý"
"1416","çatýþ"
"1417","çatýþma"
"1418","çatlak"
"1419","çavdar"
"1420","çavuþ"
"1421","çavuþ kuþu"
"1422","çay"
"1423","çaycý"
"1424","çaydanlýk"
"1425","çayevi"
"1426","çayhane"
"1427","çayýr"
"1428","çaylak"
"1429","çe"
"1430","çeç"
"1431","çeçe"
"1432","çedar"
"1433","çedar peyniri"
"1434","çehre"
"1435","çek"
"1436","çekecek"
"1437","çekelez"
"1438","çekici"
"1439","çekiç"
"1440","çekimleme"
"1441","çekimserlik"
"1442","çekirdek"
"1443","çekirge"
"1444","çekmece"
